access_event_id,timestamp,staff_id,physical_asset_id,entry_point,access_result
LOG-P001,2026-02-20T07:45:00Z,TECH-442,WT-G-001,Tower_Base_Door,SUCCESS
LOG-P002,2026-02-21T09:00:00Z,TECH-109,WT-G-003,Tower_Base_Door,SUCCESS
LOG-P003,2026-02-21T10:45:00Z,TECH-442,PITCH-MOT-03,Nacelle_Hatch,SUCCESS
LOG-P004,2026-02-22T14:15:00Z,TECH-885,YAW-DRIVE-B2,Tower_Base_Door,SUCCESS
LOG-P005,2026-02-22T15:50:00Z,TECH-442,WT-G-008,Tower_Base_Door,SUCCESS
LOG-P006,2026-02-23T06:45:00Z,TECH-109,WT-G-001,Tower_Base_Door,SUCCESS
LOG-P007,2026-02-23T08:15:00Z,TECH-202,PITCH-MOT-11,Nacelle_Hatch,SUCCESS
LOG-P008,2026-02-23T08:45:00Z,TECH-885,CONV-DC-AC-05,Substation_Gate_4,SUCCESS
LOG-P009,2026-02-23T09:05:00Z,TECH-109,WT-G-015,Tower_Base_Door,SUCCESS
LOG-P010,2026-02-23T09:30:00Z,TECH-442,NAC-TEMP-S04,Nacelle_Hatch,SUCCESS
LOG-P011,2026-02-23T09:50:00Z,TECH-202,WT-G-002,Tower_Base_Door,SUCCESS
LOG-P012,2026-02-23T10:05:00Z,TECH-551,WT-G-004,Tower_Base_Door,SUCCESS
LOG-P013,2026-02-23T10:20:00Z,TECH-109,PITCH-MOT-01,Nacelle_Hatch,SUCCESS
LOG-P014,2026-02-23T10:35:00Z,TECH-442,PITCH-MOT-05,Nacelle_Hatch,SUCCESS
LOG-P015,2026-02-23T10:50:00Z,TECH-885,YAW-DRIVE-A1,Tower_Base_Door,SUCCESS
LOG-P016,2026-02-23T11:05:00Z,TECH-202,YAW-DRIVE-A3,Tower_Base_Door,SUCCESS
LOG-P017,2026-02-23T11:20:00Z,TECH-109,NAC-TEMP-S01,Nacelle_Hatch,SUCCESS
LOG-P018,2026-02-23T11:35:00Z,TECH-551,BRAKE-SYS-01,Tower_Base_Door,SUCCESS
LOG-P019,2026-02-23T11:50:00Z,TECH-442,CONV-DC-AC-01,Substation_Gate_4,SUCCESS
LOG-P020,2026-02-23T12:05:00Z,TECH-885,MET-SENSE-N1,Exterior_Fence,SUCCESS
LOG-P021,2026-02-23T12:20:00Z,TECH-202,WT-G-005,Tower_Base_Door,SUCCESS
LOG-P022,2026-02-23T12:35:00Z,TECH-109,WT-G-006,Tower_Base_Door,SUCCESS
LOG-P023,2026-02-23T12:50:00Z,TECH-442,WT-G-007,Tower_Base_Door,SUCCESS
LOG-P024,2026-02-23T13:05:00Z,TECH-885,PITCH-MOT-02,Nacelle_Hatch,SUCCESS
LOG-P025,2026-02-23T13:20:00Z,TECH-202,PITCH-MOT-04,Nacelle_Hatch,SUCCESS
LOG-P026,2026-02-23T13:35:00Z,TECH-551,PITCH-MOT-06,Nacelle_Hatch,SUCCESS
LOG-P027,2026-02-23T13:50:00Z,TECH-109,YAW-DRIVE-C1,Tower_Base_Door,SUCCESS
LOG-P028,2026-02-23T14:05:00Z,TECH-442,YAW-DRIVE-C2,Tower_Base_Door,SUCCESS
LOG-P029,2026-02-23T14:20:00Z,TECH-885,NAC-TEMP-S02,Nacelle_Hatch,SUCCESS
LOG-P030,2026-02-23T14:35:00Z,TECH-202,BRAKE-SYS-02,Tower_Base_Door,SUCCESS
LOG-P031,2026-02-23T14:50:00Z,TECH-109,WT-G-009,Tower_Base_Door,SUCCESS
LOG-P032,2026-02-23T15:05:00Z,TECH-442,WT-G-010,Tower_Base_Door,SUCCESS
LOG-P033,2026-02-23T15:20:00Z,TECH-885,PITCH-MOT-07,Nacelle_Hatch,SUCCESS
LOG-P034,2026-02-23T15:35:00Z,TECH-202,PITCH-MOT-08,Nacelle_Hatch,SUCCESS
LOG-P035,2026-02-23T15:50:00Z,TECH-551,YAW-DRIVE-D1,Tower_Base_Door,SUCCESS
LOG-P036,2026-02-23T16:05:00Z,TECH-109,YAW-DRIVE-D2,Tower_Base_Door,SUCCESS
LOG-P037,2026-02-23T16:20:00Z,TECH-442,NAC-TEMP-S03,Nacelle_Hatch,SUCCESS
LOG-P038,2026-02-23T16:35:00Z,TECH-885,BRAKE-SYS-03,Tower_Base_Door,SUCCESS
LOG-P039,2026-02-23T16:50:00Z,TECH-202,CONV-DC-AC-02,Substation_Gate_4,SUCCESS
LOG-P040,2026-02-23T17:05:00Z,TECH-109,MET-SENSE-N2,Exterior_Fence,SUCCESS
LOG-P041,2026-02-24T07:45:00Z,TECH-442,WT-G-011,Tower_Base_Door,SUCCESS
LOG-P042,2026-02-24T08:00:00Z,TECH-885,WT-G-012,Tower_Base_Door,SUCCESS
LOG-P043,2026-02-24T08:15:00Z,TECH-202,PITCH-MOT-09,Nacelle_Hatch,SUCCESS
LOG-P044,2026-02-24T08:30:00Z,TECH-551,PITCH-MOT-10,Nacelle_Hatch,SUCCESS
LOG-P045,2026-02-24T08:45:00Z,TECH-109,YAW-DRIVE-E1,Tower_Base_Door,SUCCESS
LOG-P046,2026-02-24T09:00:00Z,TECH-442,YAW-DRIVE-E2,Tower_Base_Door,SUCCESS
LOG-P047,2026-02-24T09:15:00Z,TECH-885,NAC-TEMP-S05,Nacelle_Hatch,SUCCESS
LOG-P048,2026-02-24T09:30:00Z,TECH-202,BRAKE-SYS-04,Tower_Base_Door,SUCCESS
LOG-P049,2026-02-24T09:45:00Z,TECH-109,CONV-DC-AC-03,Substation_Gate_4,SUCCESS
LOG-P050,2026-02-24T10:00:00Z,TECH-442,MET-SENSE-N3,Exterior_Fence,SUCCESS
LOG-P051,2026-02-24T10:15:00Z,TECH-885,WT-G-013,Tower_Base_Door,SUCCESS
LOG-P052,2026-02-24T10:30:00Z,TECH-202,WT-G-014,Tower_Base_Door,SUCCESS
LOG-P053,2026-02-24T10:45:00Z,TECH-551,PITCH-MOT-12,Nacelle_Hatch,SUCCESS
LOG-P054,2026-02-24T11:00:00Z,TECH-109,PITCH-MOT-13,Nacelle_Hatch,SUCCESS
LOG-P055,2026-02-24T11:15:00Z,TECH-442,YAW-DRIVE-F1,Tower_Base_Door,SUCCESS
LOG-P056,2026-02-24T11:30:00Z,TECH-885,YAW-DRIVE-F2,Tower_Base_Door,SUCCESS
LOG-P057,2026-02-24T11:45:00Z,TECH-202,NAC-TEMP-S06,Nacelle_Hatch,SUCCESS
LOG-P058,2026-02-24T12:00:00Z,TECH-109,BRAKE-SYS-05,Tower_Base_Door,SUCCESS
LOG-P059,2026-02-24T12:15:00Z,TECH-442,CONV-DC-AC-04,Substation_Gate_4,SUCCESS
LOG-P060,2026-02-24T12:30:00Z,TECH-885,MET-SENSE-N4,Exterior_Fence,SUCCESS
LOG-P061,2026-02-24T12:45:00Z,TECH-202,WT-G-016,Tower_Base_Door,SUCCESS
LOG-P062,2026-02-24T13:00:00Z,TECH-551,WT-G-017,Tower_Base_Door,SUCCESS
LOG-P063,2026-02-24T13:15:00Z,TECH-109,PITCH-MOT-14,Nacelle_Hatch,SUCCESS
LOG-P064,2026-02-24T13:30:00Z,TECH-442,PITCH-MOT-15,Nacelle_Hatch,SUCCESS
LOG-P065,2026-02-24T13:45:00Z,TECH-885,YAW-DRIVE-A2,Tower_Base_Door,SUCCESS
LOG-P066,2026-02-24T14:00:00Z,TECH-202,YAW-DRIVE-B1,Tower_Base_Door,SUCCESS
LOG-P067,2026-02-24T14:15:00Z,TECH-109,NAC-TEMP-S07,Nacelle_Hatch,SUCCESS
LOG-P068,2026-02-24T14:30:00Z,TECH-442,BRAKE-SYS-06,Tower_Base_Door,SUCCESS
LOG-P069,2026-02-24T14:45:00Z,TECH-885,CONV-DC-AC-06,Substation_Gate_4,SUCCESS
LOG-P070,2026-02-24T15:00:00Z,TECH-202,MET-SENSE-N5,Exterior_Fence,SUCCESS
LOG-P071,2026-02-24T15:15:00Z,TECH-109,WT-G-018,Tower_Base_Door,SUCCESS
LOG-P072,2026-02-24T15:30:00Z,TECH-442,WT-G-019,Tower_Base_Door,SUCCESS
LOG-P073,2026-02-24T15:45:00Z,TECH-885,PITCH-MOT-16,Nacelle_Hatch,SUCCESS
LOG-P074,2026-02-24T16:00:00Z,TECH-202,PITCH-MOT-17,Nacelle_Hatch,SUCCESS
LOG-P075,2026-02-24T16:15:00Z,TECH-551,YAW-DRIVE-C3,Tower_Base_Door,SUCCESS
LOG-P076,2026-02-24T16:30:00Z,TECH-109,YAW-DRIVE-E3,Tower_Base_Door,SUCCESS
LOG-P077,2026-02-25T07:45:00Z,TECH-442,NAC-TEMP-S08,Nacelle_Hatch,SUCCESS
LOG-P078,2026-02-25T08:00:00Z,TECH-885,BRAKE-SYS-07,Tower_Base_Door,SUCCESS
LOG-P079,2026-02-25T08:15:00Z,TECH-202,CONV-DC-AC-07,Substation_Gate_4,SUCCESS
LOG-P080,2026-02-25T08:30:00Z,TECH-109,MET-SENSE-N6,Exterior_Fence,SUCCESS
LOG-P081,2026-02-25T08:45:00Z,TECH-442,WT-G-020,Tower_Base_Door,SUCCESS
LOG-P082,2026-02-25T09:00:00Z,TECH-885,PITCH-MOT-18,Nacelle_Hatch,SUCCESS
LOG-P083,2026-02-25T09:15:00Z,TECH-202,PITCH-MOT-19,Nacelle_Hatch,SUCCESS
LOG-P084,2026-02-25T09:30:00Z,TECH-551,PITCH-MOT-20,Nacelle_Hatch,SUCCESS
LOG-P085,2026-02-25T09:45:00Z,TECH-109,YAW-DRIVE-F1,Tower_Base_Door,SUCCESS
LOG-P086,2026-02-25T10:00:00Z,TECH-442,NAC-TEMP-S09,Nacelle_Hatch,SUCCESS
LOG-P087,2026-02-25T10:15:00Z,TECH-885,BRAKE-SYS-08,Tower_Base_Door,SUCCESS
LOG-P088,2026-02-25T10:30:00Z,TECH-202,CONV-DC-AC-08,Substation_Gate_4,SUCCESS
LOG-P089,2026-02-25T10:45:00Z,TECH-109,WT-G-001,Tower_Base_Door,SUCCESS
LOG-P090,2026-02-25T11:00:00Z,TECH-442,PITCH-MOT-01,Nacelle_Hatch,SUCCESS
LOG-P091,2026-02-25T11:15:00Z,TECH-885,WT-G-002,Tower_Base_Door,SUCCESS
LOG-P092,2026-02-25T11:30:00Z,TECH-202,WT-G-003,Tower_Base_Door,SUCCESS
LOG-P093,2026-02-25T11:45:00Z,TECH-109,WT-G-004,Tower_Base_Door,SUCCESS
LOG-P094,2026-02-25T12:00:00Z,TECH-442,NAC-TEMP-S10,Nacelle_Hatch,SUCCESS
LOG-P095,2026-02-25T12:15:00Z,TECH-885,BRAKE-SYS-09,Tower_Base_Door,SUCCESS
LOG-P096,2026-02-25T12:30:00Z,TECH-202,CONV-DC-AC-09,Substation_Gate_4,SUCCESS
LOG-P097,2026-02-25T12:45:00Z,TECH-109,WT-G-005,Tower_Base_Door,SUCCESS
LOG-P098,2026-02-25T13:00:00Z,TECH-442,PITCH-MOT-02,Nacelle_Hatch,SUCCESS
LOG-P099,2026-02-25T13:15:00Z,TECH-885,YAW-DRIVE-A1,Tower_Base_Door,SUCCESS
LOG-P100,2026-02-25T13:30:00Z,TECH-711,WT-G-001,Tower_Base_Door,DENIED