packet_id,timestamp,src_ip,dest_ip,unit_id,function_code,function_name,register_address,payload_hex,status
PKT-1001,2026-02-23T08:05:10Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1002,2026-02-23T08:05:12Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40002,01F4,SUCCESS
PKT-1003,2026-02-23T08:10:45Z,10.10.20.55,10.10.20.11,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1004,2026-02-23T08:15:20Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS
PKT-1005,2026-02-23T09:00:05Z,10.10.10.5,10.10.20.11,1,5,WRITE_SINGLE_COIL,00010,FF00,SUCCESS
PKT-1006,2026-02-23T09:30:12Z,192.168.1.50,10.10.20.57,1,5,WRITE_SINGLE_COIL,00010,FF00,ILLEGAL_ADDRESS
PKT-1007,2026-02-23T10:00:00Z,10.10.10.5,10.10.25.101,1,3,READ_HOLDING_REGISTERS,40001,0A2B,SUCCESS
PKT-1008,2026-02-23T10:45:33Z,10.10.10.5,10.10.40.50,1,4,READ_INPUT_REGISTERS,30005,0000,SUCCESS
PKT-1009,2026-02-23T11:15:10Z,172.16.50.44,10.10.20.11,1,6,WRITE_SINGLE_REGISTER,40050,03E8,SUCCESS
PKT-1010,2026-02-23T12:00:01Z,10.10.10.5,10.10.20.18,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1011,2026-02-23T13:22:45Z,10.10.10.5,10.10.20.11,1,16,WRITE_MULTIPLE_REGISTERS,40105,0000,SUCCESS
PKT-1012,2026-02-23T14:10:05Z,10.10.10.5,10.10.21.12,1,1,READ_COILS,00005,00,SUCCESS
PKT-1013,2026-02-23T15:05:55Z,10.10.10.5,10.10.25.104,1,3,READ_HOLDING_REGISTERS,40010,0258,SUCCESS
PKT-1014,2026-02-23T16:45:20Z,10.10.10.5,10.10.40.50,1,5,WRITE_SINGLE_COIL,00012,0000,SUCCESS
PKT-1015,2026-02-24T08:10:00Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1016,2026-02-24T08:15:00Z,45.33.12.11,10.10.20.11,1,5,WRITE_SINGLE_COIL,00001,FF00,UNAUTHORIZED_MASTER
PKT-1017,2026-02-24T09:30:12Z,10.10.10.5,10.10.21.10,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1018,2026-02-24T10:45:00Z,10.10.10.5,10.10.20.57,1,16,WRITE_MULTIPLE_REGISTERS,40110,0001,SUCCESS
PKT-1019,2026-02-24T11:20:33Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00002,01,SUCCESS
PKT-1020,2026-02-24T12:05:10Z,10.10.10.5,10.10.40.50,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1021,2026-02-24T13:45:00Z,10.10.10.5,10.10.50.20,1,4,READ_INPUT_REGISTERS,30001,0A12,SUCCESS
PKT-1022,2026-02-24T14:15:22Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1023,2026-02-24T15:30:45Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS
PKT-1024,2026-02-24T16:55:10Z,10.10.10.5,10.10.25.101,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1025,2026-02-25T08:00:05Z,10.10.10.5,10.10.40.50,1,5,WRITE_SINGLE_COIL,00010,FF00,SUCCESS
PKT-1026,2026-02-25T08:15:30Z,10.10.10.5,10.10.21.15,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1027,2026-02-25T09:20:12Z,10.10.10.5,10.10.21.16,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1028,2026-02-25T10:45:44Z,10.10.10.5,10.10.20.21,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1029,2026-02-25T11:30:00Z,10.10.10.5,10.10.20.65,1,1,READ_COILS,00005,00,SUCCESS
PKT-1030,2026-02-25T12:15:10Z,10.10.10.5,10.10.30.18,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1031,2026-02-25T13:40:22Z,10.10.10.5,10.10.40.58,1,4,READ_INPUT_REGISTERS,30005,0000,SUCCESS
PKT-1032,2026-02-25T14:50:33Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1033,2026-02-25T15:55:05Z,10.10.10.5,10.10.20.12,1,1,READ_COILS,00001,01,SUCCESS
PKT-1034,2026-02-26T08:10:15Z,10.10.10.5,10.10.25.111,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1035,2026-02-26T09:25:44Z,10.10.10.5,10.10.40.59,1,1,READ_COILS,00005,00,SUCCESS
PKT-1036,2026-02-26T10:40:22Z,10.10.10.5,10.10.21.20,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1037,2026-02-26T11:55:05Z,10.10.10.5,10.10.21.21,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1038,2026-02-26T13:00:10Z,10.10.10.5,10.10.20.26,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1039,2026-02-26T14:45:00Z,10.10.10.5,10.10.20.70,1,1,READ_COILS,00005,00,SUCCESS
PKT-1040,2026-02-26T15:30:12Z,10.10.10.5,10.10.40.60,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1041,2026-02-27T08:05:30Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1042,2026-02-27T09:15:00Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS
PKT-1043,2026-02-27T10:45:12Z,10.10.10.5,10.10.25.101,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1044,2026-02-27T11:30:45Z,10.10.10.5,10.10.40.50,1,1,READ_COILS,00005,00,SUCCESS
PKT-1045,2026-02-27T13:20:00Z,10.10.10.5,10.10.21.10,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1046,2026-02-27T14:50:33Z,10.10.10.5,10.10.21.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1047,2026-02-27T15:45:10Z,10.10.10.5,10.10.20.16,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1048,2026-02-27T16:20:55Z,10.10.10.5,10.10.20.60,1,1,READ_COILS,00005,00,SUCCESS
PKT-1049,2026-02-28T08:10:00Z,10.10.10.5,10.10.40.54,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1050,2026-02-28T09:25:44Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1051,2026-02-28T10:40:22Z,10.10.10.5,10.10.20.12,1,1,READ_COILS,00001,01,SUCCESS
PKT-1052,2026-02-28T11:55:05Z,10.10.10.5,10.10.25.106,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1053,2026-02-28T13:00:10Z,10.10.10.5,10.10.40.58,1,1,READ_COILS,00005,00,SUCCESS
PKT-1054,2026-02-28T14:45:00Z,10.10.10.5,10.10.21.15,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1055,2026-02-28T15:30:12Z,10.10.10.5,10.10.21.16,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1056,2026-02-28T16:20:55Z,10.10.10.5,10.10.20.21,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1057,2026-03-01T08:05:30Z,10.10.10.5,10.10.20.65,1,1,READ_COILS,00005,00,SUCCESS
PKT-1058,2026-03-01T09:15:00Z,10.10.10.5,10.10.40.58,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1059,2026-03-01T10:45:12Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1060,2026-03-01T11:30:45Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS
PKT-1061,2026-03-01T13:20:00Z,10.10.10.5,10.10.25.101,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1062,2026-03-01T14:50:33Z,10.10.10.5,10.10.40.50,1,1,READ_COILS,00005,00,SUCCESS
PKT-1063,2026-03-01T15:45:10Z,10.10.10.5,10.10.30.21,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1064,2026-03-01T16:20:55Z,10.10.10.5,10.10.21.20,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1065,2026-03-02T08:10:00Z,10.10.10.5,10.10.21.21,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1066,2026-03-02T09:25:44Z,10.10.10.5,10.10.20.26,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1067,2026-03-02T10:40:22Z,10.10.10.5,10.10.20.70,1,1,READ_COILS,00005,00,SUCCESS
PKT-1068,2026-03-02T11:55:05Z,10.10.10.5,10.10.40.60,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1069,2026-03-02T13:00:10Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1070,2026-03-02T14:45:00Z,10.10.10.5,10.10.20.12,1,1,READ_COILS,00001,01,SUCCESS
PKT-1071,2026-03-02T15:30:12Z,10.10.10.5,10.10.25.111,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1072,2026-03-02T16:20:55Z,10.10.10.5,10.10.40.59,1,1,READ_COILS,00005,00,SUCCESS
PKT-1073,2026-03-03T08:05:30Z,10.10.10.5,10.10.40.58,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1074,2026-03-03T09:15:00Z,10.10.10.5,10.10.21.24,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1075,2026-03-03T10:45:12Z,10.10.10.5,10.10.21.23,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1076,2026-03-03T11:30:45Z,10.10.10.5,10.10.20.30,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1077,2026-03-03T13:20:00Z,10.10.10.5,10.10.20.74,1,1,READ_COILS,00005,00,SUCCESS
PKT-1078,2026-03-03T14:50:33Z,10.10.10.5,10.10.40.61,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1079,2026-03-03T15:45:10Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1080,2026-03-03T16:20:55Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS
PKT-1081,2026-03-04T08:10:00Z,10.10.10.5,10.10.25.101,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1082,2026-03-04T09:25:44Z,10.10.10.5,10.10.40.50,1,1,READ_COILS,00005,00,SUCCESS
PKT-1083,2026-03-04T10:40:22Z,10.10.10.5,10.10.30.10,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1084,2026-03-04T11:55:05Z,10.10.10.5,10.10.21.10,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1085,2026-03-04T13:00:10Z,10.10.10.5,10.10.21.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1086,2026-03-04T14:45:00Z,10.10.10.5,10.10.20.16,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1087,2026-03-04T15:30:12Z,10.10.10.5,10.10.20.60,1,1,READ_COILS,00005,00,SUCCESS
PKT-1088,2026-03-04T16:20:55Z,10.10.10.5,10.10.40.54,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1089,2026-03-04T17:00:00Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1090,2026-03-04T17:15:00Z,10.10.10.5,10.10.20.12,1,1,READ_COILS,00001,01,SUCCESS
PKT-1091,2026-03-04T17:30:00Z,10.10.10.5,10.10.25.106,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1092,2026-03-04T17:45:00Z,10.10.10.5,10.10.40.58,1,1,READ_COILS,00005,00,SUCCESS
PKT-1093,2026-03-04T18:00:00Z,10.10.10.5,10.10.30.20,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1094,2026-03-04T18:15:00Z,10.10.10.5,10.10.21.15,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1095,2026-03-04T18:30:00Z,10.10.10.5,10.10.21.16,1,16,WRITE_MULTIPLE_REGISTERS,40105,0001,SUCCESS
PKT-1096,2026-03-04T18:45:00Z,10.10.10.5,10.10.20.21,1,1,READ_COILS,00005,00,SUCCESS
PKT-1097,2026-03-04T19:00:00Z,10.10.10.5,10.10.20.65,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1098,2026-03-04T19:15:00Z,10.10.10.5,10.10.40.58,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1099,2026-03-04T19:30:00Z,10.10.10.5,10.10.20.11,1,3,READ_HOLDING_REGISTERS,40001,0000,SUCCESS
PKT-1100,2026-03-04T19:45:00Z,10.10.10.5,10.10.20.13,1,1,READ_COILS,00001,01,SUCCESS